Product Name,Product Price
"Haolam String cheese Light Reduced Fat Low-Moisture Mozzarella Cheese, String Cheese",$16.97
"HAOLAM Pizza, Pizza",$7.77
"Haolam Shredded mozzarella, Mozzarella",$7.77
"Mehadrin Butter (Unsalted), Butter",$11.47
"MIGDAL American Pasteurized Process American Cheese, American Cheese",$32.97
"Mehadrin cottage cheese creamed, Cottage cheese creamed",$8.97
"Mehadrin Paper Cheese (Bakers), Cottage Cheese 0.1%",$12.47
"Mehadrin Partly Skimmed Chocolate Milk 1% 500ml, Chocolate Milk 500ml",$2.47
"Mehadrin Partly Skimmed 2% 1LT. Milk, Milk 2% 1LT",$2.97
"Mehadrin Partly Skimmed 1% 2L Milk, Partly Skimmed Milk 1% 2L",$6.27
"Givat Whipped Plain cream cheese, Whipped Plain cream cheese",$6.77
"Mehadrin Greek Cheese Snack, Greek Cheese",$4.97
"Mehadrin 1% Chocolate Milk 200ml, Chocolate milk",$1.17
"KETTLE YOGHURT, Kettle Yoghurt",$3.97
"Castello Jalapeño Havarti Sliced Cheese, 165 g",$7.17
"Givat Yummy Kids Vanilla, Kids",$1.27
"Natrel Fine-filtered 5% Creamer, 1 L",$5.18
"Castello Creamy Havarti Sliced Cheese, 165 g",$7.17
"Liberté Classique 1.5% Drinkable Yogurt, Raspberry Pomegranate, Yogurt Drink, 1 L, 1 L",$5.67
"Armstrong Swirls Real Cheese Snacks, 12 x 24 g Sticks",$7.47
"Norman Wholemilk pouches Strawberry, Wholemilk pouches",$1.97
"Schtark Shredded Mozzarella 2Lbs, MOZZARELLA",$29.77
"Norman's LOWFAT Yogurt Vanilla M&M, Vanilla M&M",$2.47
"Schtark Premium Pizza Blend 2Lbs, Schtark Shredded Premium Pizza 2Lbs",$29.77
"Plant Up Butter Chik'n Bites, Plant-Based Butter Chik'n Bites",$8.97
"E- BGGR  STRWBERRY, E- BGGR  STRWBERRY",$8.97
"Armstrong Mozzarella Real Cheese Snacks, 12 x 28 g Sticks",$7.97
"Natrel Lactose Free Fat Free Skim 0%, 4 L",$10.88
"Saputo Creamy Havarti Cheese Slices, 160 g",$7.17
"Cracker Barrel Cheddar Coloured Mild Cheese, 400g",$8.17
"Armstrong Combos Mozza & Smoked Salami Sticks, 8 sticks (12 x 180g)",$5.57
"Mini Babybel Variety Cheese Snacks 18P, 18 Portions, 360 g",Now $9.87
"Liberte Greek Vanilla 0% Yogourt, 4x100g",$4.28
"Black Diamond Cheddar Thin Slices, 44 slices, 825 g",$10.87
"Natrel Coffee Creamer Hazelnut, 1 L",$6.48
"Gay Lea Foods Light Spreadables Butter, 227 g",$5.98
"Saputo Doré-Mi Plain Haloumi Grilling Cheese, 160 g",$7.17
"The Laughing Cow, Light, Spreadable Cheese 16P, 16 Portions, 267 g",$6.97
"The Laughing Cow, Original, Spreadable Cheese 16P, 16 Portions, 267 g",$6.97
"Cracker Barrel Shredded Cheese Habanero Heat, 320g",$7.67
"SILK SOY 890ML, Silk Soy 890ml Coffee Creamer",$5.28
"Liberté Greek 2% Extra Fruit Black Cherry Raspberry, High Protein, 650 g, 650 g",Now $5.87
"Burnbrae Farms EGG Creations Fat Free Original liquid, 500 g",$5.98
"Naturegg Simply Egg  Whites™ Organic Burnbrae Farms, 500 g / carton",$6.97
"Tre Stelle Lactose Free Deluxe Pizza Mozzarella Cheese, 340 g",$7.27
"Gay Lea Fat Free Sour Cream, 500 mL",$3.18
"Armstrong Pizza Mozzarella Shredded Cheese, 320 g",$7.17
"Cracker Barrel Sweet Combo - Medium Cheddar Cheese, Raisins, Almonds and White Chocolat, 3x43g",$6.67
"Pillsbury Ready to Bake™ Reese Peanut Butter Cookie Dough, 20 cookies, 260 g",Now $3.88
"Nordica on-the-go Single Serve Plain 1% M.F. Cottage Cheese, 4 x 113 g",$5.68
"Sealtest Chocolate Parly Skimmed 1% Milk, 473 mL",$1.68
"Burnbrae Farms EGG Creations Whole Eggs Original, 500 g",$5.98
"Natrel Fine-filtered 0% Fat Free Skim Milk, 1 L",$3.58
"Siggi's Vanilla 0%, 750 g",$6.27
"Mini Babybel Swiss Cheese Snacks 6P, 6 Portions, 120 g",Now $3.47
"Silk Dairy Free Plant Based Almond Yogurt, Vanilla Flavour, 640g Dairy Free Plant Based Yogurt",$5.97
"The Laughing Cow, Original, Spreadable Cheese 32P, 32 Portions, 535 g",Now $8.67
"Pillsbury Sugar Cookie Dough, 468 g",$3.48
"Kraft Extra Cheddar Slices, 390g, 14ct, 390g",$7.17
"Silk Organic Soy Beverage, Original, Dairy-Free, Shelf Stable, 946ml Soy Milk",$3.47
"Black Diamond Cheestring Lactose Free Marble Cheese, 12 pack, 252g",$7.78
"OIKOS Greek Yogurt, Reduced Sugar, Fat Free, Vanilla, 750g, 750g",$6.98
"Natrel Fine-filtered 10% Half & Half Cream, 1 L",$5.38
"Liberté Greek Crunch Café Latte flavour, 2 x 130 g",$4.28
"Babybel Mini Rolls Cheese Snacks 6P, 6 Portions, 102 g",$4.97
"SLK PRO VAN 4X95 G, Silk Probiotic Vanilla 4x95g",$4.49
"Oikos Extra Creamy Greek Yogurt, Extra Creamy Plain 11%, 750g, 750g Greek Yogurt Tub",$6.98
"Balderson Royal Canadian Cheddar Cheese Portions 6 Pack, 6 x 21g, 126g",$8.17
"Blue Diamond Original Unsweetened Almond Breeze, 1.89 L",$4.97
"Sealtest Partly Skimmed 1% Strawberry Milk, 473 mL",$1.68
"Blue Diamond Unsweetened Chocolate Almond Breeze, 946 ML",$3.27
"Olympic Krema Yogurt Plain 10%, 650 g",$5.98
"Double Double-Mate Liquid Coffee Enhancer, 1.9 L",$9.27
"Activia Probiotic Yogurt, 4x Blueberry, 4x Strawberry & Rhubarb, 8 pack, 8 x 100g",$4.98
"Yoplait Yop 1% Drinkable Yogurt, Mango, Lactose Free Yogurt Drink, 200 mL, 200 mL",$1.27
"Black Diamond Mexican Shredded Cheese, 320 g",$7.67
"Black Diamond Light Cheddar Slices, 22 slices, 410 g",$3.97
"Silk Oat Beverage, Vanilla, Unsweetened, Dairy-Free, Shelf Stable 946ml, 946ml Shelf Stable Plant Based Milk",$3.47
"Milk2Go 1% Chocolate Partly Skimmed Milk, 310 mL",$1.48
"Astro Biobest Probiotic Yogurt Plain 1%, 750 g",$3.48
"Our Finest Vintage Cheddar Cheese, 480 g",$13.07
"Cracker Barrel Cheddar White Old Cheese, 400g",$8.17
"Liberté Méditerranée 9% Yogurt, Orchard Peach, 100 g, 4 ct, 4 x 100 g",$4.28
"Olympic Organic Yogurt Plain 3.5%, 1.75 kg",Now $10.27
"Philadelphia Original Light Cream Cheese Product, 340g",$6.98
"Liquid Hazelnut, 0.9 L",$5.68
"Natrel Lactose Free 1%, 4 L",$10.88
"Becel Plant Butter Salted 454g, 454g",$5.78
"Danone YoCrunch Yogurt Vanilla With M&M's Topping, 2 x 143 g",$3.27
"Oikos Fat Free Greek Yogurt, Vanilla Flavour, Blended, 0% M.F., 750g Greek Yogurt Tub",$6.98
"Cracker Barrel Shredded Cheese Double Cheddar, 320g",$7.67
"Natrel Lactose Free Butter, 250 g",$6.28
"Black Diamond Thick Cheddar Slices, 14 slices, 410 g",$3.97
"Black Diamond Shredded Mozzarella Cheese, 320 g",$7.67
