Product Name,Product Price
"Schneiders Juicy Jumbos Hot & Spicy Hot Dogs, 450 g",$8.97
"Piller's Tuscan Style Salami, 300g",$10.97
"Schneiders Stadium Size Footlong Wieners, 375 g",$8.97
"Maple Leaf Natural Smoked Cheddar Sausage, 375 g",$8.97
"Foodfest M - Salmon Steelhead Smoked PY 140g, M - Salmon Steelhead Smoked PY",$12.97
"Maple Leaf Sweet & Sour Fresh Pork Side Ribs, 3 pork ribs, 1.30 - 1.90 kg",$24.66
"Maple Leaf Natural Smoked Honey Garlic Sausage, 375 g",$8.97
"Mehadrin Kosher Regular Ground Beef, 500 - 600 g",$24.99
"Kosher Chicken Thighs, Kosher Fresh Chicken Parts",$10.97
"Maple Leaf Natural Smoked Original Sausage, 375 g",$8.97
"Chicken Burgers, 904g",$9.97
"Schneiders Hickory Smoked Classic Cut Bacon, 375 g",$8.97
"Shopsys Deli-Fresh All Beef Wieners, 375 g",$6.97
"HC CHICKEN FAJITA, Chicken Fajita",$4.98
"Beyond Meat Plant-Based Breakfast Sausage, 235g, Beyond Meat Plant-Based Breakfast Sausage, 235g",$6.97
"Sunrise Smoked Tofu, 180 g",$4.47
"Mina Halal Chicken Wieners, 450 g",$3.47
"Yves Veggie Bologna, 155 g, Veggie Bologna",$4.47
"Yves Veggie Bacon Strips, 156g, Veggie Bacon Strips",Now $4.97
"Yves Mexican Ground Round, 340g, Veggie Ground Round",$5.47
"Sunrise Soft Tofu, SR Soft Tofu",$1.67
"Prime Organic Bone-In Chicken Thigh, 4 Thighs",$7
"Halal Beef Inside Round Steak, Your Fresh Market, 2 portions, AAA Angus Beef, 0.39 - 0.54 kg",$14.37
"Schneiders All Beef Hot Dogs, 375 g",$8.97
"Prime Organic Chicken Drumsticks, 5 Drumsticks",$7
"Yves The Good Veggie Burger, 300 g, Veggie Burger",Now $4.97
"Maple Leaf Original Natural Bacon, 375 g",$8.97
"Maple Leaf Ready Crisp Fully Cooked Natural Bacon Bits, 85 g",$6.97
"Deli Express Salt & Pepper Chicken Wings, 505 g",$9.47
"Schneiders Classic Hot Dogs, 375 g",$5.97
"Great Value Italian Style Beef Meatballs, 350 g",$8.47
"Our Finest Shrimp Ring, 240 g",$5.97
"Gardein Chick'n Strips Meat Free, 225 g",$6.57
"Boneless Beef Shank, Your Fresh Market, 1 kg, AAA Angus Beef, 0.93 - 2.25 kg",$42.71
"Beef T-Bone Steak, Your Fresh Market, 1 steak, AAA Angus Beef, 0.55 - 0.63 kg",$25.92
"Schneiders Red Hots Original Hot Dogs, 375 g",$5.97
"Your Fresh Market Lemon & Herb Atlantic Salmon Portion, 1 piece, 0.40 - 0.50 kg",$18.49
"Halal Bone-In Beef Shank, Your Fresh Market, 1-2 steaks, AAA Angus beef, 0.45 - 0.72 kg",$11.85
"Watson Ridge Seasoned Chicken Breasts, BBQ, WR Chicken Breast, BBQ",Now $15.97
"Marcangelo Carnitas, pork shoulder portion 800g",$11
"Your Fresh Market Rainbow Trout Fillet, 1 piece, 0.28 - 0.45 kg",$13.85
"Maple Leaf Maple Pork Breakfast Sausage, 12 Breakfast Sausages",$5.98
"Butcher Style Chorizo Dinner Sausages, Your Fresh Market, 500 g",$4.97
"Aquamar Classic Leg Style Surimi 340g, 340g / 12 pieces",$3.98
"Great Value Secret Recipe Series Hot Honey Flavoured Pork Back Ribs, 500 g",$9.97
"Golden Maple Extra Lean Ground Turkey, Raw, Golden Maple Extra Lean Ground Turkey, Raw",$2.97
"Golden Maple Extra Lean Raw Ground Chicken, GM XL Raw Ground Chicken",$2.97
"Beef Braising Chuck Short Rib Cut From Canada AAA, Beef Braising Chuck Short Rib, 0.60 - 0.85 kg",$23.35
"Prime Whole Chicken Raised Without Antibiotics, 1 Whole Chicken",$17.58
"Your Fresh Market Chicken Breast Lemon & Herb Skewers, 2 x 80 g (160 g total)",$3.97
"Top Sirloin Cap Off Beef Steak, Your Fresh Market, 2-4 Steaks, AAA Angus Beef, 0.35 - 0.65 kg",$18.19
"Maple Leaf Whole Chicken, 1 Whole Chicken, 1.44 - 2.00 kg",$12.92
"Mina Halal Boneless Skinless Chicken Breast, 4 Breasts",$14
"Prime Boneless Skinless Chicken Thighs, Raised Without Antibiotics, 8 Thighs",$15.48
"Strip Loin Beef Steak, Your Fresh Market, 1 Steak, AAA Angus Beef, 0.20 - 0.50 kg",$23.99
"Maple Leaf Whole Chicken Wings, 10 Wings, 0.81 - 0.99 kg",$12.85
"Great Value Chicken Wieners (Value Size), 1.5 kg",$5.97
"Sirloin Tip Beef Roast, Your Fresh Market, 1 piece, AAA Angus Beef, 0.82 - 1.02 kg",$22.20
"Great Value Boneless Smoked Ham, 1.4 kg",$15.97
"Maple Leaf Original Pork Breakfast Sausage, 26 Sausages, Value Pack",$11.97
"Boneless Skinless Chicken Breasts, 4 Breasts",$14
"Great Value Naturally Smoked Bacon, 375 g",$4.87
"Great Value Original Wieners, 24 wieners, 900 g",$5
"Great Value Thick Sliced Naturally Smoked Bacon, 375 g",$4.87
"Ground Beef Regular Tube, Your Fresh Market, 454 g (1 lb)",$4.97
"Maple Leaf Boneless Skinless Chicken Breasts, 6 Breasts, Value Pack",$20
"Marcangelo Chicken Kabobs, 8 kabobs, 480 g",$13.97
"Prime Boneless Skinless Chicken Breast, Raised Without Antibiotics, 3 Breasts",$14
"Great Value Maple Flavoured Bacon, Great Value maple bacon",$4.87
"Great Value BBQ Pork Back Ribs, 500 g",$9.97
